Ruc,Empresa,Establecimiento,Giro,Resolución,Código Sala,Vigencia,Dirección,Distrito,Provincia,Departamento
20601087708,PADDINGTON S.A.C.,TREBOL SLOT,,002185,142038002,13/06/2027,Jr. HUMBOLT No. 1572,LA VICTORIA,LIMA,LIMA
20601267200,ENTRETENIMIENTOS DEL SANTA S.A.C.,SLOTS SAN FELIPE II,,3967,142049002,16/12/2026,Av. PACIFICO MZ. A Lt. 3,NUEVO CHIMBOTE,SANTA,ÁNCASH
20601267200,ENTRETENIMIENTOS DEL SANTA S.A.C.,SLOTS SAN FELIPE I,,1524,142049003,9/11/2026,Av. VICTOR RAÚL HAYA DE LA TORRE No. 522 - 528 - 540,CHIMBOTE,SANTA,ÁNCASH
20601316201,EL DORADO CASINOS S.A.C.,EL DORADO,,1540,142054001,9/06/2026,Calle NAPO No. 365,IQUITOS,MAYNAS,LORETO
20601209587,ZAFIRO 5 S.A.C.,MACAO,,002298,142055002,26/11/2026,Jr. SARGENTO LORES No. 149,IQUITOS,MAYNAS,LORETO
20601331463,MARDIGRAS S.A.C.,MARDIGRAS,,706,142056002,27/02/2027,Av. LARCO No. 734,MIRAFLORES,LIMA,LIMA
20601326249,RCG GROUP S.A.C.,CARRUSEL,,2231,142057001,17/11/2026,Calle PROSPERO No. 294,IQUITOS,MAYNAS,LORETO
20547942745,REPRESENTACIONES SAN CRISTOBAL S.A.C.,LAS VEGAS,,3006,142085002,14/07/2027,Jr. PROSPERO No. 288 - 292,IQUITOS,MAYNAS,LORETO
20601185971,FARETZY GAMING S.A.C.,LA TORRE DE BABEL,,2499,142098001,31/05/2027,Av. ANTONIO RAIMONDI No. 449 - 459 - 461 - 467,RUPA-RUPA,LEONCIO PRADO,HUÁNUCO
20601185971,FARETZY GAMING S.A.C.,TORRE DE BABEL,,2983,142098002,4/10/2026,Av. TITO JAIME FERNANDEZ No. 153 - 157 - 161,RUPA-RUPA,LEONCIO PRADO,HUÁNUCO
20601663539,INVERSIONES MODEH ANI S.A.C.,PARADISSE,,002650-2023,142102001,27/07/2027,Av. TÚPAC AMARU No. 5040 - 5042,COMAS,LIMA,LIMA
20563236192,COLMENA GAMING S.A.C.,MAGIC CENTER,,3506,142150001,17/08/2027,Calle AREQUIPA MZ. J4 Lt. 3,MOLLENDO,ISLAY,AREQUIPA
20563236192,COLMENA GAMING S.A.C.,MAGIC CENTER,,4354,142150002,4/10/2027,Av. BALTA No. 330,MOQUEGUA,MARISCAL NIETO,MOQUEGUA
20602149138,INVERSIONES ADRIAC S.A.C.,MAGIC PALACE,,000514,142157002,4/10/2027,Av. SAENZ PEÑA No. 815,CALLAO,PROV. CONST. DEL CALLAO,CALLAO
20602149138,INVERSIONES ADRIAC S.A.C.,REAL CHAVIN,,001717-2023,142157003,26/09/2027,Av. HEROES DEL CENEPA MZ.13 Lt. 1,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20602149138,INVERSIONES ADRIAC S.A.C.,EL ARABE,,000139,142157005,9/10/2027,Av. TUPAC AMARU MZ. O Lt. 12 y Av. TUPAC AMARU No. 3181 - 3183,CARABAYLLO,LIMA,LIMA
20602149138,INVERSIONES ADRIAC S.A.C.,MONEY CITY,,003862-2023,142157006,6/09/2027,Av. MEXICO No. 1500,LA VICTORIA,LIMA,LIMA
20602149138,INVERSIONES ADRIAC S.A.C.,NEL BLU,,003672-2023,142157007,29/08/2027,Av. TUPAC AMARU No. 5997,COMAS,LIMA,LIMA
20602149138,INVERSIONES ADRIAC S.A.C.,REAL SIPAN,,001762-2023,142157008,5/05/2027,Av. GRAN CHIMÚ No. 362,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20602129293,MILOS GAMING S.A.C.,MILOS,,001153,142158001,22/09/2027,Jr. BOLIVAR No. 237,OXAPAMPA,OXAPAMPA,PASCO
20601179271,OPEN GAMING S.A.C.,BLACK JACK,,000037-2024,142176001,5/01/2028,Av. JUAN LECAROS No. 275 - 279,PUENTE PIEDRA,LIMA,LIMA
20548505900,JEHADHA S.A.C.,GAME PALACE,,002712-2023,142182001,29/06/2027,Jr. HUALLAGA No. 641,LIMA,LIMA,LIMA
20603434880,REVOLUTION GAMING S.A.C.,FLAMENCO DE ORO,,002641,142255005,26/06/2028,LOS FLAMENCOS No. 142,SANTA ANITA,LIMA,LIMA
20603810644,ESMERALDA GAMING S.A.C.,LAS VEGAS BAGUA CHICA,,6911 - 2024,142280001,18/11/2028,Av. HEROES DEL CENEPA No. 1106,LA PECA,BAGUA,AMAZONAS
20603810644,ESMERALDA GAMING S.A.C.,LAS VEGAS,,3207 - 2024,142280003,17/06/2028,Av. CHACHAPOYAS No. 2398,BAGUA GRANDE,UTCUBAMBA,AMAZONAS
20603810644,ESMERALDA GAMING S.A.C.,LAS VEGAS,,3311 - 2024,142280006,21/06/2028,Calle DIEGO PALOMINO No. 1411,JAÉN,JAÉN,CAJAMARCA
20603709951,AMC GAMING S.A.C.,SALON DE JUEGOS EBONY,,2094 - 2024,142289001,29/04/2028,Calle JOSE OLAYA No. 201,ATE,LIMA,LIMA
20604402558,LOCKSAN S.A.C.,BLACK ACE,,001210 - 2020,142328001,24/08/2025,Av. TUPAC AMARU No. 3881 - 3885,COMAS,LIMA,LIMA
20606741546,INVERSIONES WINDEN S.A.C.,EL GALEON DORADO,,005541-2024,142331004,21/09/2029,Calle YANAHUARA MZ. S Lt. 4,MAJES,CAYLLOMA,AREQUIPA
20606741546,INVERSIONES WINDEN S.A.C.,EL GALEON DE ORO,,003130-2024,142331005,14/06/2029,Jr. 2 DE MAYO No. 316 y Jr. ZEPITA No. 222,ILO,ILO,MOQUEGUA
20605250077,EBENEZER HERRERA HERNANDEZ Y FAMILIA S.A.C.,PHARAON PALACE,,2342 - 2025,142350001,4/04/2029,Jr. TRUJILLO No. 318,RÍMAC,LIMA,LIMA
20604968705,YOU GAMES SAC,EMPIRE,,001065 - 2020,142362001,--,Jr. ANCASH No. 151 - 155,CHANCHAMAYO,CHANCHAMAYO,JUNÍN
20605436022,INVERSIONES MEGA GAMING SAC,SAN JUAN II,,002066-2024,142368004,6/08/2025,Av. SAN MARTIN MZ. K-1 Lt. 27 - 28,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20605617876,INVERSIONES MADIMA SAC,PRIMAVERA,,000717,142376001,25/03/2027,Jr. SAN MARTIN No. 839 - 841,HUANUCO,HUÁNUCO,HUÁNUCO
20605503749,GAME ROOM BJ S.A.C.,TROPICANA AGUAYTIA,,000393,142392001,2/02/2028,Av. SIMON BOLIVAR No. 436,PADRE ABAD,PADRE ABAD,UCAYALI
20605954911,CORPORACION OLYMPUS S.A.C.,EL MISTI,,004027,142402001,20/12/2027,Av. TENIENTE FERRE No. 213 - 217,MIRAFLORES,AREQUIPA,AREQUIPA
20605954911,CORPORACION OLYMPUS S.A.C.,SALA EL ROMANO,,000231-2024,142402003,20/01/2029,Av. UNIVERSITARIA NORTE No. 10799,COMAS,LIMA,LIMA
20605954911,CORPORACION OLYMPUS S.A.C.,BINGO PORTEÑO,,003585-2024,142402004,4/07/2029,Jr. COLON No. 441,CALLAO,PROV. CONST. DEL CALLAO,CALLAO
20605954911,CORPORACION OLYMPUS S.A.C.,TEXAS,,004844,142402005,9/11/2028,Av. NICOLAS DE PIEROLA 1473 No. 1473,LIMA,LIMA,LIMA
20606111178,GUACAMAYO AZUL S.A.C.,CASINO 37,,000334,142403003,10/02/2027,Av. PERU No. 3701,SAN MARTÍN DE PORRES,LIMA,LIMA
20606111178,GUACAMAYO AZUL S.A.C.,LA FONTANA III,,7391 - 2024,142403005,29/11/2029,Av. CAJAMARCA SUR No. 292,NUEVA CAJAMARCA,RIOJA,SAN MARTÍN
20606111178,GUACAMAYO AZUL S.A.C.,ALADINOS II,,7950 - 2024,142403006,20/12/2029,Jr. ALMIRANTE GRAU No. 550,RIOJA,RIOJA,SAN MARTÍN
20606111178,GUACAMAYO AZUL S.A.C.,MARC ANTHONY II,,3508 - 2025,142403007,20/05/2030,Av. Andrés Avelino Cáceres No. 435,TARAPOTO,SAN MARTÍN,SAN MARTÍN
20606627620,LAFAYETTE GAMING SAC,TRAGAMONEDAS SALAMANCA,,001932,142421001,8/11/2026,Calle LOS AYMARAS No. 150,ATE,LIMA,LIMA
20606627620,LAFAYETTE GAMING SAC,XIOVIT,,002399,142421002,20/12/2026,Av. LOS CHANCAS No. 447,SANTA ANITA,LIMA,LIMA
20606627620,LAFAYETTE GAMING SAC,WILLIAMS,,000157,142421004,24/01/2027,Av. RIVA AGÜERO SEGUNDO PISO No. 612 - 614,EL AGUSTINO,LIMA,LIMA
20607188174,GARNIER INVERSIONES SAC,AFRICA,,001635,142423001,4/10/2026,Av. GRAN CHIMU No. 777,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20607971260,INVERSIONES GROUP GAMING S.A.C.,CAMBOYA,,001919,142424002,8/07/2027,Av. ANTUNEZ DE MAYOLO No. 817,LOS OLIVOS,LIMA,LIMA
20607502561,INVERSIONES VOLUSIA S.A.C.,MAMBOS,,001637,142425001,4/10/2025,Av. PRINCIPAL MZ C-7 LT 11 Lt. 11,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO
20608035274,CORPORACION GAMING S.A.C.,NILCI,,003672,142429001,23/11/2027,Av. PROLONGACION PARINACOCHAS No. 559 - 563,LA VICTORIA,LIMA,LIMA
20608035274,CORPORACION GAMING S.A.C.,SALA PALERMO,,001701,142429002,21/06/2027,Av. PALERMO No. 574 - 576,LA VICTORIA,LIMA,LIMA
20608035274,CORPORACION GAMING S.A.C.,CAMBOYA,,2572 - 2025,142429003,9/04/2030,Av. MANCO CAPAC No. 445 - 471,LA VICTORIA,LIMA,LIMA
20606806877,BROOKLINE GAMING S.A.C.,LUCKY PALACE,,001369,142438001,23/05/2027,Av. PROLONGACION HUANUCO No. 1553,LA VICTORIA,LIMA,LIMA
20606806877,BROOKLINE GAMING S.A.C.,GOLDEN LUCKY,,001864,142438002,6/07/2027,Av. AVIACION No. 200,LA VICTORIA,LIMA,LIMA
20606749547,HARTFORD INVERSIONES SAC,SCRATCH DO BRASIL,,001301,142439001,18/05/2027,Av. BRASIL No. 1295,JESÚS MARÍA,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,TACNA II,,003846,142443001,5/12/2027,Av. TACNA No. 699,LIMA,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,CALLAO II,,003513,142443002,15/11/2027,Av. SAENZ PEÑA No. 671,CALLAO,PROV. CONST. DEL CALLAO,CALLAO
20608092324,MYAGUI GAMING SAC,LINCE I,,000007,142443003,4/01/2028,Av. ARENALES No. 2037 - 2045,LINCE,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,ZARATE,,002001,142443004,14/07/2027,Av. GRAN CHIMU No. 388,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,BLOCK 6,,004189,142443006,29/12/2027,Av. PROLONGACION GAMARRA No. 685 - 687,LA VICTORIA,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,BREÑA,,003329,142443007,3/11/2027,Jr. HUARAZ No. 1584,BREÑA,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,ALFONSO,,004028,142443008,20/12/2027,Av. ALFONSO UGARTE No. 1490,BREÑA,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,CHORRILLOS,,001629-2024,142443009,6/04/2029,Av. GUARDIA CIVIL No. 266 - 268,CHORRILLOS,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,JIRON III,,003139,142443010,20/07/2028,Jr. DE LA UNION No. 543,LIMA,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,RIMAC II,,002827,142443011,6/07/2028,Jr. TRUJILLO No. 239,RÍMAC,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,BLOCK 9,,005368,142443012,12/12/2028,Av. ISABEL LA CATÓLICA No. 1612 - 1614,LA VICTORIA,LIMA,LIMA
20608092324,MYAGUI GAMING SAC,HABICH II,,3464,142443013,15/08/2028,Av. EDUARDO DE HABICH No. 565 - 569,SAN MARTÍN DE PORRES,LIMA,LIMA
20603232292,CORPORACION ALICHOY S.A.C.,RAMSES,,001694,142455001,21/06/2027,Av. ANGELICA GAMARRA DE LEON VELARDE No. 839,LOS OLIVOS,LIMA,LIMA
20608690868,INTERGAMING PERU S.A.C.,LA VICTORIA,,000109-2024,142485002,13/01/2029,Av. MANCO CÁPAC No. 591,LA VICTORIA,LIMA,LIMA
20610360905,DAENERYS ASOCIADOS S.A.C.,SALA DE JUEGOS BONANZA,,000410,142537001,2/02/2029,Calle DERECHA No. 634,HUARAL,HUARAL,LIMA
20608654233,VANADIO S.A.C.,FLAMENCO DE ORO II,,000191-2024,142545001,17/01/2029,Av. ISABEL LA CATÓLICA No. 1643 - 1653,LA VICTORIA,LIMA,LIMA
20608654233,VANADIO S.A.C.,IMPERIAL ROYAL IV,,001979-2024,142545002,18/04/2029,Jr. RAYMONDI No. 498 y Jr. TACNA No. 671,CALLERIA,CORONEL PORTILLO,UCAYALI
20608654233,VANADIO S.A.C.,FLAMENCO DE ORO V,,000321,142545003,30/01/2029,Jr. LAMBAYEQUE No. 127,AGUAS VERDES,ZARUMILLA,TUMBES
20603861061,LI GAMING SOCIEDAD ANONIMA CERRADA LI GAMING S.A.C.,CUZCO,,5068,142559003,24/11/2028,Jr. CUZCO No. 600,LIMA,LIMA,LIMA
20603861061,LI GAMING SOCIEDAD ANONIMA CERRADA LI GAMING S.A.C.,JIRON II,,197 - 2024,142559004,19/01/2029,Jr. DE LA UNION No. 869 - 879,LIMA,LIMA,LIMA
20603861061,LI GAMING SOCIEDAD ANONIMA CERRADA LI GAMING S.A.C.,TACNA I,,604 - 2024,142559005,8/02/2029,Av. EMANCIPACION No. 478 y Av. TACNA No. 473 - 475 - 477,LIMA,LIMA,LIMA
20603861061,LI GAMING SOCIEDAD ANONIMA CERRADA LI GAMING S.A.C.,SAN JUAN,,5147,142559006,29/11/2028,Av. PROCERES DE LA INDEPENDENCIA No. 2099,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20603861061,LI GAMING SOCIEDAD ANONIMA CERRADA LI GAMING S.A.C.,HUANUCO,,1414 - 2024,142559007,22/03/2029,Jr. PROLONGACION HUANUCO No. 1548 - 1550,LA VICTORIA,LIMA,LIMA
20611765917,CORPORACION GOLDEN GAMING S.A.C.,EL FARAON,,5084 - 2024,142626001,29/08/2029,Av. PROCERES DE LA INDEPENDENCIA No. 2801 - 2803,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20611887621,MAGIC CENTER PERU GAMING SOCIEDAD ANONIMA CERRADA,TROPICALISIMA,,7489 - 2024,142629002,11/12/2029,Jr. ZEPITA No. 318,ILO,ILO,MOQUEGUA
20611857803,AMARONE S.A.C.,TRAGAMONEDAS DUEÑAS,,2623 - 2025,142632003,15/04/2030,Av. PERU No. 1809 - 1817,SAN MARTÍN DE PORRES,LIMA,LIMA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,ISLA DEL TESORO,,627 - 2025,142633001,31/01/2030,Av. SAN MARTIN No. 680,TACNA,TACNA,TACNA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,KEOPS,,628 - 2025,142633002,31/01/2030,Jr. FRANCISCO PIZARRO No. 611 - 615 - 619 - 625,TRUJILLO,TRUJILLO,LA LIBERTAD
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,WINMEIER-SLOTS,,629 - 2025,142633003,31/01/2030,Av. FRANCISCO BOLOGNESI No. 756,CHICLAYO,CHICLAYO,LAMBAYEQUE
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,SOLID GOLD,HOTEL ****,630 - 2025,142633004,31/01/2030,FEDERICO VILLARREAL No. 115 y SALAVERRY No. 275 y Av. FEDERICO VILLARREAL No. 115 y Av. SALAVERRY No. 275,CHICLAYO,CHICLAYO,LAMBAYEQUE
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,LA CASCADA,,631 - 2025,142633005,31/01/2030,Av. TUNES NORTE No. 278 y Jr. SIMON BOLIVAR No. 289,TUMBES,TUMBES,TUMBES
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,MIAMI I,,633 - 2025,142633006,31/01/2030,Av. MANUEL RUIZ No. 368 - 382,CHIMBOTE,SANTA,ÁNCASH
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,LAS MUSAS,,634 - 2025,142633007,31/01/2030,Calle LOS FAIQUES No. 101,CHICLAYO,CHICLAYO,LAMBAYEQUE
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,MANTRA,,636 - 2025,142633009,31/01/2030,Av. 28 DE JULIO No. 224 - 226,HUACHO,HUAURA,LIMA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,GANGAS,,637 - 2025,142633010,31/01/2030,Jr. GAMARRA No. 569 - 575,TRUJILLO,TRUJILLO,LA LIBERTAD
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,ALLEGRO,,639 - 2025,142633012,31/01/2030,Av. GRAU No. 559,PIURA,PIURA,PIURA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,EL POLO SLOTS,,640 - 2025,142633013,31/01/2030,"Av. LA ENCALADA, TIENDA D-105, D-102, S-103 Y S-107 C.C. EL POLO HUNT No. 1415 - 1587",SANTIAGO DE SURCO,LIMA,LIMA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,MOULIN ROUGE,,642 - 2025,142633015,31/01/2030,Jr. MARISCAL ORBEGOSO No. 524,TRUJILLO,TRUJILLO,LA LIBERTAD
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,BALTA SLOTS,,644 - 2025,142633016,31/01/2030,Av. JOSE BALTA No. 525 - 535,CHICLAYO,CHICLAYO,LAMBAYEQUE
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,EXCALIBUR,,645 - 2025,142633017,31/01/2030,Av. FRANCISCO PIZARRO No. 657,TRUJILLO,TRUJILLO,LA LIBERTAD
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,CASINOBAGDAD,,646 - 2025,142633018,31/01/2030,Jr. ELIAS AGUIRRE No. 498 y Jr. JUAN CUGLIEVAN No. 685 - 691,CHICLAYO,CHICLAYO,LAMBAYEQUE
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,DAMASCO,,648 - 2025,142633020,31/01/2030,Av. SAN MARTIN No. 577 - 597,TACNA,TACNA,TACNA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,STAR,,650 - 2025,142633021,31/01/2030,Jr. LUIS JOSE DE ORBEGOSO No. 554 - 558,TRUJILLO,TRUJILLO,LA LIBERTAD
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,MEGA,,651 - 2025,142633022,31/01/2030,"Av. ALFREDO MENDIOLA MZ. A, LOTES 19 Y 20 Mz. A",INDEPENDENCIA,LIMA,LIMA
20265815830,CORPORACION TURISTICA PERUANA S.A.C.,ATLANTIC CITY,REST. 5TT,5362,210019051,21/01/2028,ALFREDO BENAVIDES No. 430,MIRAFLORES,LIMA,LIMA
20305556786,GAMING AND SERVICES S.A.C.,FANTASTIC CASINO,HOTEL *****,3066,210032051,19/01/2027,Av. MALECON DE LA RESERVA No. 615,MIRAFLORES,LIMA,LIMA
20305556786,GAMING AND SERVICES S.A.C.,MIAMI CASINO,REST. 5TT,3643,210032052,24/08/2027,Av. LA MARINA No. 1725 - 1729,SAN MIGUEL,LIMA,LIMA
20305556786,GAMING AND SERVICES S.A.C.,CRAZY CASINO,REST. 5TT,2149,210032053,26/05/2028,Av. Aviación No. 3424-3430,SAN BORJA,LIMA,LIMA
20145118493,GOLDEN GAMING S.A.,CASINO LA HACIENDA,HOTEL ****,1563 - 2025,210033051,7/03/2029,Av. 28 DE JULIO No. 531,MIRAFLORES,LIMA,LIMA
20346662612,GOLDEN INVESTMENT S.A.,CASINO GOLDEN PALACE,REST. 5TT,4436 - 2024,210034051,2/08/2028,Av. REPUBLICA DE PANAMA No. 3155 - 3165,SAN ISIDRO,LIMA,LIMA
20463564621,INTERSTATE GAMING DEL PERU S.A.,LUXOR CASINO,HOTEL ****,1190,210141051,--,Av. SAN MARTIN -2DO. PISO No. 562,TACNA,TACNA,TACNA
20334620183,SUN NIPPON COMPANY S.A.C.,FIESTA CASINO LUXOR,REST. 5TT,1649 - 2024,210510051,5/04/2028,Av. PRIMAVERA No. 1500,SANTIAGO DE SURCO,LIMA,LIMA
20515469380,RECREATIVOS EL GALEON S.A.C.,PACHANGA,REST. 5TT,1297,210805051,5/07/2027,Av. AVIACION No. 2424 - 2428,SAN BORJA,LIMA,LIMA
20513020792,NEWPORT CAPITAL S.A.C.,HELLO HOLLYWOOD,REST. 5TT,2032,210868052,7/03/2028,Av. La Marina No. 2159,SAN MIGUEL,LIMA,LIMA
20513020792,NEWPORT CAPITAL S.A.C.,OASIS PALACE,REST. 5TT,5529,210868053,18/12/2028,Av. Carlos Izaguirre No. 217-223,INDEPENDENCIA,LIMA,LIMA
20516403811,THUNDERBIRD FIESTA CASINO-BENAVIDES S.A.C.,FIESTA CASINO,REST. 5TT,1527,210992051,6/12/2026,Av. ALFREDO BENAVIDES No. 509,MIRAFLORES,LIMA,LIMA
20546406688,EGASA PERU S.A.C.,CASINO LUCKIA,REST. 5TT,3176,211516051,26/07/2027,"Av. ALFREDO MENDIOLA, INTERIOR A-12 C.C. MEGA PLAZA No. 3698",INDEPENDENCIA,LIMA,LIMA
20545188202,ABSOLUTE GAMES S.A.C.,LUCKIA,REST. 5TT,819 - 2024,211544051,20/02/2028,Av. LA MARINA No. 662 y Calle SANTA CECILIA No. 107 - 119,PUEBLO LIBRE,LIMA,LIMA
20549706500,DREAMS CORPORATION S.A.C.,PACHANGA,REST. 5TT,472,211668053,13/02/2027,"Av. CARLOS IZAGUIRRE , LOTE 24 Mz. C",INDEPENDENCIA,LIMA,LIMA
20549706500,DREAMS CORPORATION S.A.C.,NEW YORK CASINO,REST. 5TT,003775 - 2017,231668051,13/02/2027,Av. PERSHING No. 610 - 612,MAGDALENA DEL MAR,LIMA,LIMA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,WIN & WIN,REST. 5TT,632 - 2025,232633001,31/01/2030,"Av. LA ENCALADA NROS 1415-1587 TIENDAS D-102, D-105, S-103, S-107 No. 1415 - 1587",SANTIAGO DE SURCO,LIMA,LIMA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,WINMEIER CASINO,HOTEL ****,643 - 2025,232633002,31/01/2030,Av. FRANCISCO BOLOGNESI No. 756,CHICLAYO,CHICLAYO,LAMBAYEQUE
